2022-02-07 23:08:59, Command: weather_forecast, Location: 53.2192, 6.5667
2022-02-07 23:09:14, Command: get_current_time, 
2022-02-16 21:38:23, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:38:54, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:40:25, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:46:55, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:54:03, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:54:20, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:55:05, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:55:53, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:56:09, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:57:41, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:57:41, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:57:50, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-16 21:57:50, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:48:46, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:48:46, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:49:25, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:49:25, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:50:08, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:50:10, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:50:45, Command: weather_forecast, Location: 52.5125, 6.0944
2022-02-17 21:50:46, Command: weather_forecast, Location: 52.5125, 6.0944
